Family,Scientific Name,SPECIES,Plant Type,Common Name,PASTURE,TRANSECT
Commelinaceae,Tradescantia ohiensis,TROH,Forb,Ohio spiderwort,2,9
Commelinaceae,Tradescantia tharpii,TRTH,Forb,Tharp's spiderwort,2,9
Convolvulaceae,Convolvulus equitans,COEQ,Forb,Texas bindweed,2,9
Convolvulaceae,Evolvulus nuttallianus,EVNU,Forb,Shaggy dwarf morning glory,2,7
Crassulaceae,Sedum nuttallianum,SENU,Forb,"Stonecrop, Yellow",6,110
Cuscutaceae,Cuscuta gronovii,CUGR,Forb,Dodder,3,74
Cyperaceae,Sedge spp.,SEDGE,Sedge,Sedge spp,2,9
Euphorbiaceae,Acalypha gracilens,ACGR2,Forb,Slender copperleaf,6,110
Euphorbiaceae,Croton capitatus,CRCA6,Forb,Hogwort,3,74
Euphorbiaceae,Croton glandulosus,CRGL2,Forb,Tropic croton,3,74
Euphorbiaceae,Croton mona or lind,CROT13,Forb,Croton seedlings (1or3 seed),2,7
Euphorbiaceae,Croton monanthogynus,CRMO6,Forb,One seeded croton,3,74
Euphorbiaceae,Euphorbia maculata,EUMA7,Forb,Spotted spurge,6,117
Euphorbiaceae,Euphorbia prostrata,EUPR3,Forb,Prostrate spurge,6,117
Euphorbiaceae,Phyllanthus polygonoides,PHPO3,Forb,Prostrate woody forb,2,7
Fabaceae,Acacia angustissima,ACAN,Forb,Prairie acacia,2,52
Fabaceae,Chamaecrista fasciculata,CHFAF,Forb,Showy partridge pea,3,74
Fabaceae,Dalea aurea,DAAU,Forb,Golden dalea,2,52
Fabaceae,Dalea candida,DACA7,Forb,White Prairie clover,2,7
Fabaceae,Lespedeza procumbens,LEPR,Forb,Trailing lespedeza,2,7
Fabaceae,Lotus purshiana,LOPU3,Forb,Deervetch,6,117
Fabaceae,Medicago orbiculatus,MEOR2,Forb,Button medic,6,117
Fabaceae,Medicago polymorpha,MEPO3,Forb,Bur clover,6,110
Fabaceae,Medicago sp,MEDIC,Forb,Clover/Medic spp,6,117
Fabaceae,Psoralidium spp,PSORA2,Forb,Scurfpea spp,2,7
Fabaceae,Schrankia roemeriana,SCRO4,Forb,Catclaw sensitivebriar,2,7
Fabaceae,Senna roemeriana,SERO8,Forb,Two-leaf senna,2,7
Fabaceae,Trifolium campestre,TRCA5,Forb,Low hop clover,3,74
Fabaceae,Trifolium hirtum,TRHI4,Forb,"Clover, Rose",3,74
Fabaceae,Trifolium vesiculosum,TRVE,Forb,"Clover, Arrowleaf",3,74
Fabaceae,Vicia hirsuta,VIHI,Forb,Tiny vetch,2,9
