GENUS.SPECIES,DORMANCY.CLASS
Adenocarpus hispanicus,PY
Adenocarpus telonensis,PY
Adenocaulon himalaicum,PD
Adenocaulon himalaicum,PD
Adenophora liliifolioides,PD
Adenophora potaninii,ND
Adenophora stenanthina,PD
Adenophora tetraphylla,PD
Adenophora verticillata,PD
Adenophora wawreana,PD
Adenopodia polystachya,PY
Adenostemma lavenia,ND
Adenostemma lavenia,PD
Adenostemma lavenia,PD
Adenostoma fasciculatum,PD
Adesmia arborea,PY
Adesmia subterranea,PY
Adhatoda vasica,ND
Adina cordifolia,PD
Adinandra acuminata,ND
Adinandra dumosa,ND
Adinandra integerrima,PD
Adinandra millettii,ND
Adinandra millettii,PD
Adonis ramosa,MPD
Adonis vernalis,MD
Adoxa moschatellina,MPD
Adriana quadripartita,PD
Aechmea blanchetiana,ND
Aechmea bracteata,ND
Aechmea coelestis,ND
Aechmea distichantha,ND
Aechmea fasciata,ND
Aechmea nudicaulis,MD
Aechmea nudicaulis,ND
Aechmea nudicaulis,ND
Aechmealanchetiana ,ND
Aegialitis rotundifoliacr,ND
Aegiceras corniculatumcr,ND
Aegiceras majuscr,ND
Aegilops cylindrica,PD
Aegilops cylindrica,PD
Aegilops geniculatua,PD
Aegilops sharenensis,PD
Aegiphila lhotzskyana,PD
Aegiphila sellowiana,PD
Aegiphilla klotschiana,PD
Aegle marmelos,ND
Aegle marmelos,PD
Aegle marmelos,PY
Aegopodium podagraria,MPD
Aeluropus lagopoides,PD
Aeonium percarneum,PD
Aeonium valverdense,PD
Aerva persica,PD
Aerva pseudotomentosa,PD
Aeschynomene aspera,PY
Aeschynomene virginica,PY
Aeschynomene virginica,PY
Aesculus californica,ND
Aesculus glabra,PD
Aesculus hippocastanum,PD
Aesculus indica,PD
Aesculus octandra,PD
Aesculus parviflora,PD
Aethusa cynapium,MPD
Aextoxicon punctatum,PD
Afeostyrax lepidophyllus,ND
Afraegle paniculata,PD
Afrocarpus gracilior,MPD
Afrolicania elaeosperma,PD
Afrormosia elata,ND
Afzelia africana,ND
Afzelia bella,ND
Afzelia bipendensis,ND
