"SITE","BIOMASS","EXCL","PACKET","TYPE","SURV","REF","diff"
"WP","Low biomass","H","Rain
adjacent","Physical dormancy",0.6,0.1,0.5
"WP","Low biomass","H","Rain
proximal","No dormancy",0,0.4,-0.4
"WP","Low biomass","H","Rain
proximal","Physiological dormancy",0,0,0
"WP","Low biomass","H","Rain
proximal","Physical dormancy",0,0.1,-0.1
"WP","Low biomass","H","Bank
adjacent","No dormancy",0,0.3,-0.3
"WP","Low biomass","H","Bank
adjacent","Physiological dormancy",0,0.4,-0.4
"WP","Low biomass","H","Bank
adjacent","Physical dormancy",0.2,0.4,-0.2
"WP","Low biomass","H","Bank
proximal","No dormancy",0,0.3,-0.3
"WP","Low biomass","H","Bank
proximal","Physiological dormancy",0,0.4,-0.4
"WP","Low biomass","H","Bank
proximal","Physical dormancy",0,0.4,-0.4
"WP","Low biomass","O","Rain
adjacent","No dormancy",1,0.4,0.6
"WP","Low biomass","O","Rain
adjacent","Physiological dormancy",0.3,0,0.3
"WP","Low biomass","O","Rain
adjacent","Physical dormancy",0.6,0.1,0.5
"WP","Low biomass","O","Rain
proximal","No dormancy",1,0.4,0.6
"WP","Low biomass","O","Rain
proximal","Physiological dormancy",0,0,0
"WP","Low biomass","O","Rain
proximal","Physical dormancy",0.3,0.1,0.2
"WP","Low biomass","O","Bank
adjacent","No dormancy",0,0.3,-0.3
"WP","Low biomass","O","Bank
adjacent","Physiological dormancy",0,0.4,-0.4
"WP","Low biomass","O","Bank
adjacent","Physical dormancy",0,0.4,-0.4
"WP","Low biomass","O","Bank
proximal","No dormancy",0,0.3,-0.3
"WP","Low biomass","O","Bank
proximal","Physiological dormancy",0.2,0.4,-0.2
"WP","Low biomass","O","Bank
proximal","Physical dormancy",0,0.4,-0.4
"WP","Low biomass","S","Rain
adjacent","No dormancy",0.7,0.4,0.3
"WP","Low biomass","S","Rain
adjacent","Physiological dormancy",0,0,0
"WP","Low biomass","S","Rain
adjacent","Physical dormancy",0.5,0.1,0.4
"WP","Low biomass","S","Rain
proximal","No dormancy",0.1,0.4,-0.3
"WP","Low biomass","S","Rain
proximal","Physiological dormancy",0,0,0
"WP","Low biomass","S","Rain
proximal","Physical dormancy",0.1,0.1,0
"WP","Low biomass","S","Bank
adjacent","No dormancy",0.2,0.3,-0.1
"WP","Low biomass","S","Bank
adjacent","Physiological dormancy",0.1,0.4,-0.3
"WP","Low biomass","S","Bank
adjacent","Physical dormancy",0.1,0.4,-0.3
"WP","Low biomass","S","Bank
proximal","No dormancy",0,0.3,-0.3
"WP","Low biomass","S","Bank
proximal","Physiological dormancy",0.2,0.4,-0.2
"WP","Low biomass","S","Bank
proximal","Physical dormancy",0,0.4,-0.4
"WP","High biomass","H","Rain
adjacent","No dormancy",1,0.4,0.6
"WP","High biomass","H","Rain
adjacent","Physiological dormancy",0,0,0
"WP","High biomass","H","Rain
adjacent","Physical dormancy",0.6,0.1,0.5
"WP","High biomass","H","Rain
proximal","No dormancy",0.2,0.4,-0.2
"WP","High biomass","H","Rain
proximal","Physiological dormancy",0,0,0
"WP","High biomass","H","Rain
proximal","Physical dormancy",0.1,0.1,0
"WP","High biomass","H","Bank
adjacent","No dormancy",0,0.3,-0.3
"WP","High biomass","H","Bank
adjacent","Physiological dormancy",0.2,0.4,-0.2
"WP","High biomass","H","Bank
adjacent","Physical dormancy",0.1,0.4,-0.3
"WP","High biomass","H","Bank
proximal","No dormancy",0,0.3,-0.3
"WP","High biomass","H","Bank
proximal","Physiological dormancy",0,0.4,-0.4
"WP","High biomass","H","Bank
proximal","Physical dormancy",0,0.4,-0.4
"WP","High biomass","O","Rain
adjacent","No dormancy",1,0.4,0.6
"WP","High biomass","O","Rain
adjacent","Physiological dormancy",0,0,0
"WP","High biomass","O","Rain
adjacent","Physical dormancy",0.1,0.1,0
"WP","High biomass","O","Rain
proximal","No dormancy",0,0.4,-0.4
"WP","High biomass","O","Rain
proximal","Physiological dormancy",0,0,0
"WP","High biomass","O","Rain
proximal","Physical dormancy",0,0.1,-0.1
"WP","High biomass","O","Bank
adjacent","No dormancy",0,0.3,-0.3
"WP","High biomass","O","Bank
adjacent","Physiological dormancy",0.2,0.4,-0.2
"WP","High biomass","O","Bank
adjacent","Physical dormancy",0,0.4,-0.4
"WP","High biomass","O","Bank
proximal","No dormancy",0,0.3,-0.3
"WP","High biomass","O","Bank
proximal","Physiological dormancy",0.3,0.4,-0.1
"WP","High biomass","O","Bank
proximal","Physical dormancy",0,0.4,-0.4
"WP","High biomass","S","Rain
adjacent","No dormancy",0.9,0.4,0.5
"WP","High biomass","S","Rain
adjacent","Physiological dormancy",0,0,0
"WP","High biomass","S","Rain
adjacent","Physical dormancy",1,0.1,0.9
"WP","High biomass","S","Rain
proximal","No dormancy",0,0.4,-0.4
"WP","High biomass","S","Rain
proximal","Physiological dormancy",0,0,0
"WP","High biomass","S","Rain
proximal","Physical dormancy",0,0.1,-0.1
"WP","High biomass","S","Bank
adjacent","No dormancy",0.4,0.3,0.1
"WP","High biomass","S","Bank
adjacent","Physiological dormancy",0,0.4,-0.4
"WP","High biomass","S","Bank
adjacent","Physical dormancy",0.3,0.4,-0.1
"WP","High biomass","S","Bank
proximal","No dormancy",0.1,0.3,-0.2
"WP","High biomass","S","Bank
proximal","Physiological dormancy",0,0.4,-0.4
"WP","High biomass","S","Bank
proximal","Physical dormancy",0,0.4,-0.4
